Table 1,Offender Count,Ethnicity,Age Group,Police District
1 Age Ethnicity Boundary,2,Indian,30-34,Waikato
1 Age Ethnicity Boundary,1,Indian,30-34,Waikato
1 Age Ethnicity Boundary,1,Indian,30-34,Waikato
1 Age Ethnicity Boundary,1,Indian,35-39,Waikato
1 Age Ethnicity Boundary,1,Indian,35-39,Waikato
1 Age Ethnicity Boundary,1,Indian,40-44,Waikato
1 Age Ethnicity Boundary,1,Indian,65-69,Waikato
1 Age Ethnicity Boundary,1,Indian,75-79,Waikato
1 Age Ethnicity Boundary,1,Indian,10-14,Waikato
1 Age Ethnicity Boundary,1,Indian,35-39,Waitemata
1 Age Ethnicity Boundary,1,Indian,55-59,Waitemata
1 Age Ethnicity Boundary,1,Indian,15-19,Waitemata
1 Age Ethnicity Boundary,1,Indian,15-19,Waitemata
1 Age Ethnicity Boundary,1,Indian,35-39,Waitemata
1 Age Ethnicity Boundary,1,Indian,50-54,Waitemata
1 Age Ethnicity Boundary,1,Indian,55-59,Waitemata
1 Age Ethnicity Boundary,1,Indian,25-29,Waitemata
1 Age Ethnicity Boundary,1,Indian,25-29,Waitemata
1 Age Ethnicity Boundary,2,Indian,25-29,Waitemata
1 Age Ethnicity Boundary,1,Indian,30-34,Waitemata
1 Age Ethnicity Boundary,1,Indian,30-34,Waitemata
1 Age Ethnicity Boundary,1,Indian,35-39,Waitemata
1 Age Ethnicity Boundary,1,Indian,35-39,Waitemata
1 Age Ethnicity Boundary,1,Indian,40-44,Waitemata
1 Age Ethnicity Boundary,1,Indian,60-64,Waitemata
1 Age Ethnicity Boundary,1,Indian,15-19,Waitemata
1 Age Ethnicity Boundary,1,Indian,10-14,Waitemata
1 Age Ethnicity Boundary,1,Indian,15-19,Wellington
1 Age Ethnicity Boundary,1,Indian,25-29,Wellington
1 Age Ethnicity Boundary,1,Indian,35-39,Wellington
1 Age Ethnicity Boundary,1,Indian,20-24,Wellington
1 Age Ethnicity Boundary,1,Indian,20-24,Wellington
1 Age Ethnicity Boundary,1,Indian,30-34,Wellington
1 Age Ethnicity Boundary,2,Indian,30-34,Wellington
1 Age Ethnicity Boundary,1,Indian,35-39,Wellington
1 Age Ethnicity Boundary,1,Indian,35-39,Wellington
1 Age Ethnicity Boundary,1,Indian,35-39,Wellington
1 Age Ethnicity Boundary,1,Indian,40-44,Wellington
1 Age Ethnicity Boundary,1,Indian,45-49,Wellington
1 Age Ethnicity Boundary,1,Indian,50-54,Wellington
1 Age Ethnicity Boundary,1,Indian,70-74,Wellington
1 Age Ethnicity Boundary,1,Indian,70-74,Wellington
1 Age Ethnicity Boundary,1,Indian,75-79,Wellington
1 Age Ethnicity Boundary,1,Indian,20-24,Wellington
1 Age Ethnicity Boundary,1,Indian,25-29,Wellington
1 Age Ethnicity Boundary,1,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,1,Maori,20-24,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,2,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,1,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,1,Maori,40-44,Auckland City
1 Age Ethnicity Boundary,1,Maori,40-44,Auckland City
1 Age Ethnicity Boundary,1,Maori,45-49,Auckland City
1 Age Ethnicity Boundary,1,Maori,65-69,Auckland City
1 Age Ethnicity Boundary,1,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,1,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,1,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,2,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,2,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,20-24,Auckland City
1 Age Ethnicity Boundary,1,Maori,20-24,Auckland City
1 Age Ethnicity Boundary,2,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,1,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,1,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,1,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,1,Maori,40-44,Auckland City
1 Age Ethnicity Boundary,1,Maori,40-44,Auckland City
1 Age Ethnicity Boundary,1,Maori,45-49,Auckland City
1 Age Ethnicity Boundary,1,Maori,50-54,Auckland City
1 Age Ethnicity Boundary,1,Maori,55-59,Auckland City
1 Age Ethnicity Boundary,1,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,3,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,20-24,Auckland City
1 Age Ethnicity Boundary,1,Maori,20-24,Auckland City
1 Age Ethnicity Boundary,1,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,2,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,2,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,2,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,1,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,3,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,2,Maori,35-39,Auckland City
1 Age Ethnicity Boundary,1,Maori,45-49,Auckland City
1 Age Ethnicity Boundary,1,Maori,45-49,Auckland City
1 Age Ethnicity Boundary,1,Maori,45-49,Auckland City
1 Age Ethnicity Boundary,2,Maori,50-54,Auckland City
1 Age Ethnicity Boundary,2,Maori,55-59,Auckland City
1 Age Ethnicity Boundary,2,Maori,65-69,Auckland City
1 Age Ethnicity Boundary,1,Maori,70-74,Auckland City
1 Age Ethnicity Boundary,1,Maori,70-74,Auckland City
1 Age Ethnicity Boundary,2,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,1,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,3,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,1,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,1,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,1,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,2,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,3,Maori,15-19,Auckland City
1 Age Ethnicity Boundary,2,Maori,20-24,Auckland City
1 Age Ethnicity Boundary,2,Maori,20-24,Auckland City
1 Age Ethnicity Boundary,1,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,1,Maori,25-29,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,1,Maori,30-34,Auckland City
1 Age Ethnicity Boundary,1,Maori,40-44,Auckland City
1 Age Ethnicity Boundary,1,Maori,45-49,Auckland City
1 Age Ethnicity Boundary,1,Maori,55-59,Auckland City
1 Age Ethnicity Boundary,1,Maori,55-59,Auckland City
1 Age Ethnicity Boundary,1,Maori,10-14,Auckland City
1 Age Ethnicity Boundary,2,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,60-64,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,65-69,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,70-74,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,8,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,8,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,8,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,4,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,5,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,4,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,55-59,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,55-59,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,55-59,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,65-69,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,65-69,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,65-69,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,65-69,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,70-74,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,70-74,Bay Of Plenty
1 Age Ethnicity Boundary,6,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,9,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,7,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,5,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,7,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,4,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,7,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,4,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,5,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,55-59,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,55-59,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,55-59,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,60-64,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,60-64,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,65-69,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,65-69,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,65-69,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,70-74,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,75-79,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,4,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,7,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,10,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,4,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,8,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,7,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,5,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,25-29,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,5,Maori,30-34,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,4,Maori,35-39,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,40-44,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,45-49,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,50-54,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,55-59,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,55-59,Bay Of Plenty
1 Age Ethnicity Boundary,4,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,6,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,10-14,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,3,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,1,Maori,15-19,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,20-24,Bay Of Plenty
1 Age Ethnicity Boundary,2,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,2,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,1,Maori,80yearsorover,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,5,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,2,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,2,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,3,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,4,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,5,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,2,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,2,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,2,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,3,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,2,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,1,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,1,Maori,45-49,Canterbury
1 Age Ethnicity Boundary,1,Maori,45-49,Canterbury
1 Age Ethnicity Boundary,1,Maori,45-49,Canterbury
1 Age Ethnicity Boundary,1,Maori,45-49,Canterbury
1 Age Ethnicity Boundary,1,Maori,5-9,Canterbury
1 Age Ethnicity Boundary,1,Maori,50-54,Canterbury
1 Age Ethnicity Boundary,1,Maori,50-54,Canterbury
1 Age Ethnicity Boundary,1,Maori,55-59,Canterbury
1 Age Ethnicity Boundary,1,Maori,55-59,Canterbury
1 Age Ethnicity Boundary,1,Maori,60-64,Canterbury
1 Age Ethnicity Boundary,5,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,3,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,1,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,2,Maori,50-54,Canterbury
1 Age Ethnicity Boundary,1,Maori,50-54,Canterbury
1 Age Ethnicity Boundary,1,Maori,50-54,Canterbury
1 Age Ethnicity Boundary,1,Maori,65-69,Canterbury
1 Age Ethnicity Boundary,1,Maori,65-69,Canterbury
1 Age Ethnicity Boundary,2,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,4,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,3,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,2,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,15-19,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,2,Maori,25-29,Canterbury
1 Age Ethnicity Boundary,2,Maori,30-34,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,35-39,Canterbury
1 Age Ethnicity Boundary,1,Maori,50-54,Canterbury
1 Age Ethnicity Boundary,1,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,2,Maori,10-14,Canterbury
1 Age Ethnicity Boundary,1,Maori,20-24,Canterbury
1 Age Ethnicity Boundary,1,Maori,40-44,Canterbury
1 Age Ethnicity Boundary,3,Maori,10-14,Central
1 Age Ethnicity Boundary,1,Maori,10-14,Central
1 Age Ethnicity Boundary,1,Maori,10-14,Central
1 Age Ethnicity Boundary,2,Maori,15-19,Central
1 Age Ethnicity Boundary,4,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,2,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,2,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,3,Maori,40-44,Central
1 Age Ethnicity Boundary,3,Maori,40-44,Central
1 Age Ethnicity Boundary,1,Maori,45-49,Central
1 Age Ethnicity Boundary,1,Maori,50-54,Central
1 Age Ethnicity Boundary,1,Maori,55-59,Central
1 Age Ethnicity Boundary,4,Maori,10-14,Central
1 Age Ethnicity Boundary,2,Maori,10-14,Central
1 Age Ethnicity Boundary,4,Maori,10-14,Central
1 Age Ethnicity Boundary,2,Maori,10-14,Central
1 Age Ethnicity Boundary,2,Maori,10-14,Central
1 Age Ethnicity Boundary,4,Maori,10-14,Central
1 Age Ethnicity Boundary,3,Maori,15-19,Central
1 Age Ethnicity Boundary,5,Maori,15-19,Central
1 Age Ethnicity Boundary,2,Maori,15-19,Central
1 Age Ethnicity Boundary,2,Maori,15-19,Central
1 Age Ethnicity Boundary,2,Maori,15-19,Central
1 Age Ethnicity Boundary,4,Maori,15-19,Central
1 Age Ethnicity Boundary,4,Maori,15-19,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,3,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,3,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,20-24,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,25-29,Central
1 Age Ethnicity Boundary,4,Maori,25-29,Central
1 Age Ethnicity Boundary,2,Maori,25-29,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,30-34,Central
1 Age Ethnicity Boundary,2,Maori,30-34,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,35-39,Central
1 Age Ethnicity Boundary,1,Maori,40-44,Central
1 Age Ethnicity Boundary,3,Maori,40-44,Central
1 Age Ethnicity Boundary,1,Maori,45-49,Central
1 Age Ethnicity Boundary,2,Maori,45-49,Central
1 Age Ethnicity Boundary,1,Maori,45-49,Central
1 Age Ethnicity Boundary,1,Maori,45-49,Central
1 Age Ethnicity Boundary,1,Maori,50-54,Central
